ID,    NAME,OCCUPATION,YEARS OF ACTIVE,MOTHER,FATHER,SPOUSE,CHILDREN,NATIVE
85,Liam hemsworth ,Actor,1990-present(28 age ),Leonie  hemsworth,Craig hemsworth ,Miley Cyrus ,Na,Australia 
86,Richard gere ,Actor,1949-present (69 age ),Doris ann tiffany ,Homer George gere ,Aljendra silva ,1,US
87,Mahatma Gandhi ,Indian activist/ political leader ,1869-1948 ,Putlibai gandhi ,Karamchand gandhi ,Kasturbai gandhi ,4,Gujurat
88,Narendra modi ,Political leader ,1950-present(68 age ),Heeraben modi ,Damodardas mulchand modi ,Jashodaben ,Na,Gujurat
89,Rahul gandhi ,Political leader ,1970-present(48 age),Sonia gandhi ,Rajiv gandhi ,Na,Na,New Delhi 
90,Indira gandhi ,Political leader ,1917-1984,Kamala nehru ,jawaharlal nehru ,Feroze gandhi ,2,Uttar Pradesh 
91,Sonia Gandhi ,Political leader ,1946-present (72 age),Paola maino ,Stefano Maino ,Rajiv gandhi ,2,Italy 
92,Lalu Prasad Yadav ,Political leader ,1948-present(70 age),Marachhiya devi ,Kundan rai ,Rabri devi ,9,Bihar 
93,Amit shah ,Political leader ,1964-present(54 age ),Kusumben shah ,Anilchandra shah ,Sonal shah ,1,Mumbai 
94,Arvind Kejriwal ,Political leader ,1968-present (50 age ),Gita devi ,Gobind ran Kejriwal ,Sunita kejriwal ,2,Haryana 
95,Rajiv gandhi ,Political leader ,1944-1991,Indira gandhi ,Feroze Gandhi ,Sonia gandhi ,2,Bombay
96,Arun Jaitley ,Political leader ,1952-present (66 age),Shrimati ratan prabha jaitley ,Maharaj Kishen jaitley ,Sangeeta Jaitley ,2,New Delhi 
97,Mamata Banerjee,Political leader ,1955-present(63 age),Gayatri devi ,Promileshwar Banerjee ,Na,Na,Kolkata 
98,Manmohan singh ,Political leader ,1932-present(86 age),Amrit Kaur ,gurmukh singh ,gursharan Kaur ,3,Punjab 
99,Dr. b. r. Ambekar ,Political leader ,1891-1956,Bhimabai sakpal ,Ramji maloji sakpal ,Savita Ambedkar ,5,Madhya Pradesh 
100,Subhash chandra bose ,Political leader ,1897-1945 ,Prabhabati bose ,Janakinath bose ,Emilie schenkl ,1,"Cuttack , British India "
101,Dr. abdul kalam ,Political leader ,1931-2015 ,Ashiamma jainulabiddin ,Jainulabiddin marakayar ,Na,Na,"madras, Tamil nadu "
102,Chandra Shekar azad ,Political leader ,1906-1931,Jagrani devi ,Sitaram tiwari ,Na,Na,"Bravura, British India "
103,Jawaharlal Nehru ,Political leader ,1889-1964,Swaruprani nehru ,Motilal nehru ,Kamala nehru ,1,Uttar Pradesh 
104,Lal bahadur shastri,Political leader ,1904-1966 ,Ramdulari devi ,Sharada Prasad Srivastava ,Lalita shastri ,Na,Uttar Pradesh 
105,Atal Bihari Vajpayee ,Political leader ,1924-2018 ,Krishna devi ,Krishna Bihari Vajpayee ,Na,1(foster),Madhya Pradesh 
106,Sharad pawar,Political leader ,1940-present(78 age ),Shardabai Pawar ,Govindrao Pawar ,Pratibha Pawar ,1,Bombay 
107,Nitish kumar ,Political leader ,1951-present(67 age ),smt. Parmeshwari devi ,Shri. Kaviraj ram lakhan singh ,Manju kumari sinha  ,1,Bihar 
108,Pranab Mukherjee,Political leader ,1935-present(83 age),Rajlakshmi Mukherjee ,Kinkar mukhpadhyay sarani,Surva Mukherjee ,3,West Bengal 
109,L . K. Advani ,Political leader ,1927-present(91 age),Gyani devi ,Kishanchand D Advani ,Kamla Advani ,2,Pakistan
110,Vallabhbhai Patel  ,Political leader ,1875-1950,Ladba ,Jhaverbhai Patel ,Jhaverbaben Patel ,2,Bombay
111,Donald trump ,Political leader ,1946-present (72 age),Mary anne trump ,Fred trump ,melania knauss ,5,New York 
112,Barack obama,Political leader ,1961-present(57 age ),Ann dunham ,Barack Obama sr. ,Michelle Robinson ,2,US
113,Bill Clinton ,Political leader ,1946-present (72 age),Virginia Clinton Kelley ,William Jefferson Blythe jr. ,Hillary Rodham ,1,US
114,George w bush ,Political leader ,1924-2018 ,Dorothy walker ,Prescott bush ,Barbara pierce ,6,US
115,Hillary Clinton ,Political leader ,1947-present (71 age ),Dorothy Rodham ,Hugh Rodham ,Bill Clinton ,1,US
116,John Kennedy ,Political leader ,1917-1963,Rose Kennedy sr. ,Joseph Kennedy ,Jacqueline lee bouvier ,4,US
117,Thomas Jefferson ,Political leader ,1743-1826,Jane Jefferson ,Peter Jefferson ,Martha wayles ,11,US
118,George Washington ,Political leader ,1732-1799,Mary Washington ,Augustine Washington ,Martha Dandridge ,Na,US
119,Abraham Lincoln ,Political leader ,1809-1865,Nancy hanks ,Thomas Lincoln ,Mary todd ,4,US
120,Kapil dev,Athlete / sportsperson ,1959-present(59 age),Raj kumari lajwanti ,Ram lal nikhanj ,Romi bhatia ,1,Haryana 
121,Mahesh bhupathi ,Athlete / sportsperson ,1974-present (44 age),Mira Bhupathi ,C.G. krishna bhupati ,Lara dutta ,1,Chennai 
122,Milkha singh ,Athlete / sportsperson ,1935-present(83 age),Na,Na,Nirmal kaur,2,Punjab 
123,Prakash padukone ,Athlete / sportsperson ,1955-present(63 age),Ahilya padukone ,Ramesh padukone ,Ujjala padukone ,2,mysore 
124,P.T. Usha ,Athlete / sportsperson ,1964-present(54 age ),T.V. Lakshmi ,E.P.M paithal ,V. Srinivasan ,2,Kerala 
125,Rahul Dravid ,Athlete / sportsperson ,1973-present (45 age),Pushpa Dravid ,Sharad Dravid ,Vijeta pendharkar ,2,Madhya Pradesh 
126,Sachin Tendulkar ,Athlete / sportsperson ,1973-present (45 age),Rajni Tendulkar ,Rajnesh Tendulkar ,Anjali Tendulkar ,2,Mumbai 
127,Sania mirza ,Athlete / sportsperson ,1986-present (32 age),nasima mirza ,Imran mirza ,Shoaib malik ,1,Mumbai 
128,Sourav Ganguly ,Athlete / sportsperson ,1972-present(46 age),Nirupa Ganguly ,Chandidas Ganguly  ,Dona roy ,1,Kolkata 
129,Virat Kohli ,Athlete / sportsperson ,1988-present (30 age),Saroj Kohli ,Prem Kohli ,Anushka Sharma ,Na,Delhi 
130,Saina Nehwal ,Athlete / sportsperson ,1990-present(28 age ),Usha Nehwal ,Harvir singh nehwal ,Parupalli Kashyap ,Na,Haryana 
131,P.V. Sindhu ,Athlete / sportsperson ,1995-present(23 age),P. Vijaya ,P.V. ramana ,Na,Na,Hyderabad 
132,Mary kom ,Athlete / sportsperson ,1983-present (35 age ),akham kom,Tonpa kom,karong onkholder kom,3,Manipur 
133,MS Dhoni ,Athlete / sportsperson ,1981-present(37 age),Devaki devi ,Pan singh ,Sakshi Dhoni ,1,"Ranchi, Bihar "
134,Viswanathan Anand ,Athlete / sportsperson ,1969-present (49n age),Susheela ,Viswanathan Iyer ,Aruna anand ,1,Tamil nadu 
135,Mithali raj ,Athlete / sportsperson ,1982-present (36 age),Leela raj ,Dorai raj ,Na,Na,Jodhpur 
136,Yuvraj singh,Athlete / sportsperson ,1981-present(37 age),Shabnam singh ,Yograj singh ,Hazel keech ,Na,Chandigarh 
137,Virendra Sehwag ,Athlete / sportsperson ,1978-present(40 age),Krishna Sehwag ,Krishan Sehwag ,Aarti Ahlawat ,2,Delhi 
138,Pankaj Advani ,Athlete / sportsperson ,1985-present (33 age),Kajal Advani ,Arjan Advani ,Na,Na,Pune 
139,Anju bobby George ,Athlete / sportsperson ,1977-present(41 age ),Gracy markos ,K.T. markos ,Robert bobby George ,2,Kerala 
140,Anil Kumble ,Athlete / sportsperson ,1970-present(48 age),Saroja ,Krishna swamy ,Chethana ramatheertha ,3,Bengaluru 
141,Vijender singh ,Athlete / sportsperson ,1985-present (33 age),Na,Mahipal singh ,Archana singh ,1,Haryana 
142,Rohit Sharma ,Athlete / sportsperson ,1987-present (31 age),Purnima Sharma ,Gurunath Sharma ,Ritika sajdeh ,Na,Nagpur 
143,Shikhar dhawan ,Athlete / sportsperson ,1985-present (33 age),Sunaina dhawan ,Mahendra pal dhawan ,Ayesha Mukherjee ,1,Delhi 
144,Dola Banerjee ,Athlete / sportsperson ,1980-present (38 age ),Kalpana Banerjee ,Ashok Banerjee ,Medhadeep Banerjee ,Na,West Bengal 
145,Roger federer,Athlete / sportsperson ,1981-present(37 age),Lynette federer ,Robert federer,Mirka federer ,4,Switzerland 
146,Cristiano Ronaldo ,Athlete / sportsperson ,1985-present (33 age),Maria dolores dos santos averió ,Jose Dinis aveiro ,Georgina Rodriguez ,4,Portugal 
147,Lionel messi ,Athlete / sportsperson ,1987-present (31 age),Celia Maria cuccittini ,Jorge messi ,Antonella roccuzzo ,3,Argentina 
148,Lebron james ,Athlete / sportsperson ,1984-present(34 age),Gloria marie james ,Na,Savannah James ,3,America 
149,Tiger woods,Athlete / sportsperson ,1975-present (43 age),Kultida woods ,Earl woods ,Elin nordegren ,2,US
150,Serena Williams ,Athlete / sportsperson ,1981-present(37 age),Oracene price ,Richard williams ,Alexis ohanian ,1,US
151,Michael Jordan ,Athlete / sportsperson ,1963-present(54 age ),Deloris jorden ,James R. Jordan sr. ,Yvette prieto ,5,New York 
152,Neymar ,Athlete / sportsperson ,1992-present (26 age),Nadine santos ,Neymar santos sr. ,Carolina dantas ,1,Brazil 
153,Usain bolt ,Athlete / sportsperson ,1986-present (32 age),Jennifer bolts ,Wellesley bolt ,Kasi nennett ,Na,Jamaica 
154,David Beckham ,Athlete / sportsperson ,1975-present (43 age),Sandra Georgina west ,David Edward Alan Beckham ,Victoria Beckham  ,4,England 
155,Ashoka ,King ,Na,Na,Na,Na,Na,Bihar 
156,Akbar,King ,Na,Na,Na,Na,Na,Na
157,Aurangzeb ,King ,Na,Na,Na,Na,Na,Na
158,Shah jahan ,King ,Na,Na,Na,Na,Na,Na
159,Jahangir ,King ,Na,Na,Na,Na,Na,Na
160,Chhatrapati Shivaji maharaj,King ,Na,Na,Na,Na,Na,Na
161,Samudragupta ,King ,Na,Na,Na,Na,Na,Na
162,Tipu sultan ,King ,Na,Na,Na,Na,Na,Na
163,Rani of Jhansi ,Queen ,Na,Na,Na,Na,Na,Na
164,Sambhaji Bhosale ,King ,Na,Na,Na,Na,Na,Na
165,Elizabeth ,Queen ,Na,Na,Na,Na,Na,Na
166,Queen Victoria ,Queen ,Na,Na,Na,Na,Na,Na
167,Albert (prince consort),King ,Na,Na,Na,Na,Na,Na
